County,Violent,Homicide,Rape,Robbery,AggAssault,Property,Burglary,VehicleTheft,Total
Alameda County,633,5,27,210,391,2169,354,491,1324
Alameda County,162,0,7,94,61,2579,218,403,1958
Alameda County,40,0,8,21,11,685,105,46,534
Alameda County,618,0,74,369,175,6256,771,492,4993
Alameda County,166,0,12,114,40,2623,95,113,2415
Alameda County,400,1,36,159,204,4523,547,568,3408
Alameda County,552,5,54,275,218,4886,448,1241,3197
Alameda County,193,2,30,39,122,1554,139,136,1279
Alameda County,85,0,13,40,32,1399,187,122,1090
Alameda County,5520,78,372,2859,2211,27868,2599,5041,20228
Alameda County,14,0,3,5,6,227,46,19,162
Alameda County,112,0,12,56,44,1632,149,97,1386
Alameda County,454,0,18,283,153,4105,375,789,2941
Alameda County,277,2,8,79,188,1718,192,226,1300
Alameda County,44,0,3,21,20,357,73,10,274
Alameda County,4,0,3,0,1,96,15,3,78
Alameda County,1,0,0,0,1,29,20,0,9
Alameda County,282,2,2,227,51,1796,13,149,1634
Alameda County,107,0,7,43,57,1259,114,93,1052
Alameda County,70,1,13,22,34,763,56,61,646
Alameda County,0,0,0,0,0,207,0,167,40
Alpine County,13,0,2,0,11,29,12,3,14
Alpine County,0,0,0,0,0,3,1,1,1
Amador County,66,1,3,8,54,416,146,2,268
Amador County,11,0,1,1,9,46,9,2,35
Amador County,30,0,3,0,27,133,15,11,107
Amador County,3,0,1,0,2,44,8,6,30
Amador County,0,0,0,0,0,0,0,0,0
Amador County,0,0,0,0,0,31,0,16,15
Butte County,283,5,32,28,218,1290,524,42,724
Butte County,3,0,1,0,2,17,3,4,10
Butte County,557,0,100,104,353,2406,272,381,1753
Butte County,29,0,15,3,11,205,47,22,136
Butte County,122,2,24,30,66,822,176,211,435
Butte County,22,0,5,1,16,202,83,68,51
Butte County,0,0,0,0,0,16,1,0,15
Butte County,1,0,0,0,1,7,2,0,5
Butte County,6,0,3,1,2,127,2,6,119
Butte County,1,0,0,0,1,230,1,134,95
Calaveras County,139,1,32,8,98,668,274,14,380
Calaveras County,6,0,2,1,3,74,19,10,45
Calaveras County,0,0,0,0,0,0,0,0,0
Calaveras County,0,0,0,0,0,4,4,0,0
Calaveras County,0,0,0,0,0,92,0,45,47
Colusa County,26,0,8,4,14,169,53,5,111
Colusa County,6,0,4,1,1,78,28,16,34
Colusa County,20,0,3,4,13,76,28,14,34
Colusa County,0,0,0,0,0,0,0,0,0
Colusa County,6,0,0,0,6,24,0,21,3
Contra Costa County,332,8,28,89,207,1499,411,35,1053
Contra Costa County,648,12,55,238,343,3199,511,610,2078
Contra Costa County,166,0,16,67,83,1335,142,98,1095
Contra Costa County,1,0,0,1,0,155,14,4,137
Contra Costa County,541,2,67,234,238,4560,434,614,3512
Contra Costa County,152,1,4,91,56,1300,166,80,1054
Contra Costa County,31,0,5,15,11,341,31,32,278
Contra Costa County,59,0,2,17,40,866,77,63,726
Contra Costa County,446,7,41,157,241,1660,256,421,983
Contra Costa County,88,0,11,41,36,1484,112,96,1276
Contra Costa County,1034,16,36,307,675,4188,469,1239,2480
Contra Costa County,194,2,7,102,83,1009,101,319,589
Contra Costa County,120,0,6,40,74,2496,307,155,2034
Contra Costa County,5,0,1,1,3,48,15,8,25
Contra Costa County,83,0,17,26,40,570,99,85,386
Contra Costa County,4,0,1,3,0,358,42,30,286
Contra Costa County,23,0,1,3,19,124,36,9,79
Contra Costa County,61,0,4,34,23,676,2,82,592
Contra Costa County,1,0,0,1,0,111,14,3,94
Contra Costa County,23,1,5,7,10,296,36,13,247
Contra Costa County,58,0,4,21,33,1099,179,51,869
Contra Costa County,17,5,2,7,3,195,52,18,125
Contra Costa County,0,0,0,0,0,2,0,0,2
Contra Costa County,51,0,7,17,27,497,74,87,336
Contra Costa County,0,0,0,0,0,487,0,447,40
Del Norte County,84,2,11,18,53,424,192,4,228
Del Norte County,23,0,2,8,13,311,59,14,238
Del Norte County,2,0,0,0,2,69,0,29,40
El Dorado County,173,3,47,29,94,1695,482,27,1186
El Dorado County,39,0,2,6,31,281,67,50,164
El Dorado County,111,2,10,20,79,449,79,35,335
El Dorado County,0,0,0,0,0,0,0,0,0
El Dorado County,0,0,0,0,0,134,1,34,99
Fresno County,1082,14,38,102,928,3281,1378,599,1304
Fresno County,243,0,54,32,157,2276,307,159,1810
Fresno County,41,0,2,4,35,217,38,20,159
Fresno County,11,0,2,2,7,103,15,37,51
Fresno County,29,1,2,5,21,104,42,19,43
Fresno County,2457,35,129,687,1606,14603,2321,2051,10231
Fresno County,83,0,1,10,72,56,13,18,25
Fresno County,23,0,3,4,16,308,58,36,214
Fresno County,18,0,2,3,13,219,76,36,107
Fresno County,83,1,4,4,74,155,45,60,50
Fresno County,18,0,0,2,16,61,12,11,38
Fresno County,62,0,2,9,51,179,24,49,106
Fresno County,117,1,7,12,97,235,69,49,117
Fresno County,156,0,9,15,132,304,59,67,178
Fresno County,85,3,6,25,51,605,204,121,280
Fresno County,0,0,0,0,0,136,11,5,120
Fresno County,0,0,0,0,0,3,0,0,3
Fresno County,3,0,0,0,3,5,1,0,4
Fresno County,13,0,0,0,13,20,3,0,17
Fresno County,11,0,3,2,6,162,17,16,129
Fresno County,0,0,0,0,0,152,0,130,22
Fresno County,202,0,3,0,199,11,1,0,10
Glenn County,55,2,8,8,37,362,86,37,239
Glenn County,33,0,4,8,21,134,23,25,86
Glenn County,0,0,0,0,0,0,0,0,0
Glenn County,3,0,0,0,3,30,0,21,9
Humboldt County,310,1,21,59,229,1092,398,33,661
Humboldt County,72,1,12,16,43,605,122,58,425
Humboldt County,195,3,29,63,100,1350,187,186,977
Humboldt County,4,0,0,0,4,24,2,5,17
Humboldt County,28,0,2,9,17,317,50,36,231
Humboldt County,11,1,1,1,8,61,21,4,36
Humboldt County,5,0,1,1,3,120,15,2,103
Humboldt County,0,0,0,0,0,0,0,0,0
Humboldt County,0,0,0,0,0,40,0,0,40
Humboldt County,1,0,0,0,1,317,1,211,105
Imperial County,211,2,11,7,191,588,178,86,324
Imperial County,121,2,4,8,107,618,95,55,468
Imperial County,94,0,3,21,70,894,244,180,470
Imperial County,143,3,9,41,90,1184,228,95,861
Imperial County,14,0,1,2,11,70,13,4,53
Imperial County,5,0,0,1,4,56,10,10,36
Imperial County,0,0,0,0,0,0,0,0,0
Imperial County,1,0,0,0,1,66,1,41,24
Inyo County,60,1,9,3,47,192,86,1,105
Inyo County,34,0,9,6,19,183,29,4,150
Inyo County,0,0,0,0,0,0,0,0,0
Inyo County,0,0,0,0,0,18,0,13,5
Kern County,2864,29,244,433,2158,9449,2756,2013,4680
Kern County,196,3,3,16,174,437,115,144,178
Kern County,1766,34,116,701,915,16074,3888,2909,9277
Kern County,205,8,8,33,156,1118,203,312,603
Kern County,67,3,14,9,41,163,52,58,53
Kern County,142,3,31,7,101,401,119,39,243
Kern County,53,0,3,9,41,513,127,88,298
Kern County,67,0,6,4,57,244,70,25,149
Kern County,60,2,8,7,43,327,70,26,231
Kern County,83,0,13,15,55,281,102,59,120
Kern County,7,1,1,0,5,19,5,1,13
Kern County,11,0,7,0,4,44,6,2,36
Kern County,41,0,0,4,37,158,48,9,101
Kern County,0,0,0,0,0,71,19,0,52
Kern County,2,0,1,0,1,67,14,1,52
Kern County,3,1,0,0,2,238,1,197,40
Kings County,125,2,19,19,85,432,114,21,297
Kings County,118,1,8,12,97,272,65,50,157
Kings County,257,0,18,40,199,1242,131,211,900
Kings County,126,1,17,14,94,372,71,37,264
Kings County,0,0,0,0,0,1,1,0,0
Kings County,62,0,2,0,60,4,2,0,2
Kings County,69,0,7,3,59,58,26,4,28
Kings County,0,0,0,0,0,85,0,71,14
Lake County,193,3,21,19,150,435,204,6,225
Lake County,34,0,3,7,24,160,29,21,110
Lake County,119,1,19,36,63,460,146,104,210
Lake County,1,1,0,0,0,173,0,135,38
Lassen County,78,0,8,0,70,172,100,7,65
Lassen County,196,0,7,10,179,207,45,5,157
Lassen County,0,0,0,0,0,1,0,0,1
Lassen County,0,0,0,0,0,39,0,30,9
Los Angeles County,5564,68,300,1443,3753,15040,2798,3647,8595
Los Angeles County,161,2,11,89,59,1749,259,187,1303
Los Angeles County,84,1,10,35,38,1348,301,74,973
Los Angeles County,72,1,2,28,41,284,90,33,161
Los Angeles County,10,0,2,0,8,40,7,5,28
Los Angeles County,144,5,17,46,76,959,174,139,646
Los Angeles County,188,1,24,50,113,1110,196,308,606
Los Angeles County,168,0,11,37,120,441,127,90,224
Los Angeles County,327,1,29,107,190,1506,326,320,860
Los Angeles County,147,0,4,69,74,630,78,218,334
Los Angeles County,3,0,0,2,1,60,2,1,57
Los Angeles County,4,0,0,1,3,79,29,5,45
Los Angeles County,1,0,0,0,1,1933,1462,0,471
Los Angeles County,6,0,0,0,6,21,0,1,20
